,0
53,Facebook has good reasons for blocking research into political ad targeting | John Naughton
54,Judith and Dave O'Higgins: His ’n’ Hers review – duelling saxes
55,African express: an art collector’s colourful home
56,How plot linked  to Kremlin fooled UK peers into fake ‘murder’ probe
57,Once in a blue moon: rare phenomenon expected in Saturday night sky
58,"In troubled times, a ritual walk can clear the mind and soothe the soul"
59,Wolfwalkers review – an exquisite Irish animation masterpiece
60,On my radar: Elizabeth Strout's cultural highlights
61,"'He was daring, brave': the story behind Ferran Torres's rapid rise"
62,Sheffield United 0-1 Manchester City: Premier League – as it happened
63,Laura Ashley returns to UK high street after deal with Next
64,Guardiola quells fears of Manchester City exit after Walker blunts Blades
65,"Sean Connery, James Bond actor, dies aged 90"
66,Queensland election: Annastacia Palaszczuk wins historic third term
67,Billie Eilish: Where Do We Go?: the Livestream review – feel the fear…
68,One to watch: GeeJay
69,Chuck D: ‘I don’t think old folks should be leaders’
70,Annastacia Palaszczuk first woman to win three consecutive terms – as it happened
71,Johnson to hold press conference as England Covid lockdown looms
72,Women will decide this election – and Trump keeps insulting them | Arwa Mahdawi
73,Have Your Passport Ready review – step inside the asylum system
74,Sean Connery – a life in pictures
75,The week in classical: New Dark Age; Quartet for the End of Time – review
76,Downing Street launches Covid lockdown leak inquiry
77,Cycling gear to keep you visible as nights grow darker
78,Here's why we need more African archaeologists | Sada Mire
79,Classical home listening: a good week for Bruckner fans
80,‘I became convinced I was channelling powers’: my life as a teenage witch
81,National lockdown in England 'would devastate hospitality sector'
82,Tamal Ray's recipe for apple danish pastries | The sweet spot
83,Bledisloe Cup 2020: Australia 5-43 New Zealand – as it happened
84,Red lentil dal and sweet-sour pork: Nik Sharma's recipes for autumn comfort dishes
85,‘An awakening I haven’t seen before’: Detroit voters say 2020 won’t be like 2016
86,How to make toffee apples – recipe | Felicity Cloake's masterclass
87,"Don't Rock the Boat: reality TV that's harrowing, dystopian and fascinating"
88,The Godfather: how the Mafia blockbuster became a political handbook
89,‘I’m not voting for personality’: why this Pennsylvania county is the one to watch
90,‘I wanted to meet a mate and have a baby without wasting time’: the rise of platonic co-parenting
91,"I tried, and failed, to solve homelessness in Westminster. Here's what I learned | Robert White"
92,Everton's Hayley Raso: 'I've learned not to take football for granted'
93,Critical mail delays hit swing states ahead of US election
94,American anxiety drives a crystal boom: 'People are looking for healing'
95,At least 25 Americans were killed during protests and political unrest in 2020
96,Scenes from a presidency – in pictures
97,Flower power: Covid restrictions fuel boom in plant and bulb sales
98,'An incredible scar': the harsh toll of Trump's 400-mile wall through national parks
99,Arsenal's head of football operations departs as shake-up continues
100,"Without learning to think statistically, we'll never know when people are bending the truth | Paul Goodwin"
101,"If Trump wins, will I be giving my twins a life lesson: sometimes bad guys finish first? | Hadley Freeman"
102,Yitzhak Rabin: ‘He never knew it was one of his people who shot him in the back’
103,Children’s books roundup – the best new picture books and novels
104,A barter way of life: Covid crisis fuels swapping of goods and skills
105,"Jonathan Coe: 'It’s the point in your life at which you start asking yourself, what next?'"
106,Billionaire casino boss Sheldon Adelson splashes the cash in bid to help Trump
107,Manchester United v Arsenal: match preview
108,Leeds v Leicester: match preview
109,Fulham v West Brom: match preview
110,Aston Villa v Southampton: match preview
111,Tottenham v Brighton: match preview
112,Low and no-alcohol sales soar 30% in lockdown as UK drinking habits change
113,Newcastle v Everton: match preview
114,England will bring thunder for a potentially classic Six Nations finale | Ugo Monye
115,Huge spider thought extinct in Britain discovered on MoD training site
116,Chimamanda Ngozi Adichie's new short story is what I've been waiting for | Candice Carty-Williams
117,The best single eyeshadows | Sali Hughes
118,Helena Bonham Carter: ‘Divorce is cruel. But some parts are to be recommended'
119,'I hope it makes a difference': voters on remote Maine island cast their ballots
120,Vote your cast: who is the greatest fictional US president?
121,"'Universities have sidelined the science,' says academics' leader"
122,Test your wits with a book of ingenious language puzzles
123,As Liverpool seek Anfield record how do they compare with Paisley greats? | Andy Hunter
124,Chocolate sales soar as UK shoppers comfort eat at home amid Covid
125,New Zealand Greens accept Ardern's offer of 'cooperation agreement'
126,The Powerful and the Damned by Lionel Barber review – cosying up to power?
127,Christmas fair cancelled by Covid? Here's how to raise money for schools
128,Happy Halloween! 10 of the UK's spookiest places to visit
129,'Nightmare' of businesswoman accused of mortgage fraud
130,Beyond Stephen King and Shirley Jackson: the best scary stories of recent years
131,What links Nicola Adams and Darwin’s ship? The Weekend quiz
132,Fritters and curry: Ravinder Bhogal's pumpkin recipes
133,Behind closed doors: does love and isolation make Bartók’s Bluebeard the opera for our times?
134,Americans go to the polls as US suffers worst week for coronavirus infections
135,'They give me the willies': scientist who vacuumed murder hornets braces for fight
136,'He just says it as it is': why many Nigerians support Donald Trump
137,'Red mirage': the 'insidious' scenario if Trump declares an early victory
138,Blind date: 'Things got a bit spicy around the main course'
139,Cream past its best? Turn it into soured cream | Waste not
140,TV tonight: Spitting Image returns for the US election
141,Tim Dowling: what strange noises are waking me up in the night?
142,US elections 2020: final push to unleash power of poor and low-income voters
143,Covid job losses lead MPs to call for trials of universal basic income
144,Stephen Collins on US election watch parties in Britain – cartoon
145,We left the UK for Portland expecting a liberal dream. That wasn’t the reality
146,NSW reports four new coronavirus cases as Victoria police arrest anti-mask protesters
147,Country diary: boulderers make the most of the rocky terrain
148,An order of queer and trans 'nuns' in San Francisco take on an unholy year
149,Rescue teams search rubble after earthquake rocks Turkish coast and Greek islands
150,Biden and Trump battle for swing states as election enters final weekend - as it happened
151,"US shatters daily coronavirus record with nearly 90,000 new infections"
152,Twitter lifts freeze from New York Post account after policy reversal
153,Kevin Peterson Jr: protesters decry police shooting in Washington state
154,"Italian cases jump by 31,000 in a day – as it happened"
155,Talking Horses: Vinndication to stake Gold Cup claim in Charlie Hall Chase
156,"One in eight UK renters unable to meet housing costs in full, says report"
157,"Drive less or face post-lockdown gridlock, UK transport experts warn"
158,"Prize crossword No 28,279"
159,Weekend crossword No 513
160,"Quick crossword No 15,752"
161,National Covid lockdown expected across England next week
162,Wigan give St Helens a French lesson to leapfrog rivals at top of Super League
163,Jürgen Klopp criticises Premier League chief over substitutes' rule
164,David Moyes grateful for power and patience afforded by West Ham
165,Frank Lampard impressed by inner confidence of Chelsea's Hakim Ziyech
166,"Everton must prove they can win without Richarlison, says Ancelotti"
167,Nice police question man over reported contact with basilica suspect
168,Pro-choice supporters hold biggest-ever protest against Polish government
169,Wolves up to third after debutant Rayan Aït-Nouri helps sink Crystal Palace
170,'Everyone smiles with a trophy': England eye lucrative Six Nations win
171,Conspiracy theorists forced to apologise for calling Victorian youth leader a Covid 'crisis actor'
172,Butterflywatch: is UK experiencing a clouded yellow autumn?
173,Corrections and clarifications
174,Russia loses UN vote over women's rights in conflict zones
175,The US election that doesn't count: Guam goes to the polls but votes won't matter
176,"Walter Wallace Jr killing: footage shows 'obvious mental health crisis', lawyer says"
177,Michael Bay pandemic movie trailer criticized as 'exploitation cinema'
178,Daphne McKenna obituary
179,The return of split-toe footwear leaves fashion world cloven
180,Australia's right is united by 'up yours' contrarianism and Mark Latham is its bellwether | Malcolm Knox
181,Indigenous group ‘sickened’ by Powerhouse Museum expansion: ‘It treats our land as terra nullius’
182,NSW government doubles goal for national parks expansion after reaching target a year early
183,From daguerreotypes to glass plates: Australia's oldest images – photo essay
184,Complexities and contradictions: making sense of Queensland's election
185,'You can't build something on thin air': the Sydney waterfront mansion built 'D-Day style'
186,QR codes: how an old technology could help contact tracers keep the pandemic in check
187,A Joe Biden victory could push Scott Morrison – and the world – on climate change
188,'Forgot I was mayor': Basil Zempilas apologises for transgender comments saying he forgot his position
189,Net zero: what if Australia misses the moment on climate action?
190,The $1m-plus club: Christine Holgate and NBN executives among government workers paid more than PM
191,"'No predators, plenty to eat': New Zealand struggles with plague of peacocks"
192,"UK coronavirus: calls for national lockdown as about 560,000 people in England had Covid last week - as it happened"
193,JJ Williams obituary
194,Global Covid report: Belgium facing new lockdown as Germany takes in patients
195,Beyoncé covers December issue of British Vogue
196,US election roundup: Trump and Biden swing through battleground states
197,Dossier alleges Cummings may have perverted course of justice in account of lockdown trip
198,The Guardian view of the end of the furlough: terrible timing | Editorial
199,Wealthy New Yorkers regret leaving the city? What a surprise
200,"The Guardian view on a Covid Halloween: treats, please | Editorial"
201,Eurozone posts fastest growth on record; FTSE 100 suffers worst week since June – as it happened
202,Polish hospitals begin turning away women seeking abortions
203,European stock markets endure worst week since June
204,'Eat out to help out' may have caused sixth of Covid clusters over summer
205,Nobby Stiles obituary
206,Confusion at BBC as boss says staff can attend Pride marches after all
207,US and UK citizens are world’s biggest sources of plastic waste – study
208,Premier League team news and more: weekend football countdown – as it happened
209,A Covid Christmas: tiny turkeys and rule of six carol concerts
210,"Corbyn-supporting MPs discussed quitting Labour, Ian Lavery says"
211,"Labour, antisemitism, and Jeremy Corbyn’s suspension | Letters"
212,Why this election calls into question whether America is a democracy
213,Zaghari-Ratcliffe: 'Interrogators threatened to take my daughter away'
214,Nobby Stiles was an enforcer who pioneered the holding midfield role | Paul Wilson
215,Quoting the Eagles doesn’t check out | Brief letters
216,Brazil names Nice knife attack victim as Simone Barreto Silva
217,Mercy Baguma's son and his father granted UK asylum
218,ExxonMobil warns of $30bn writedown of shale assets amid energy price slump
219,"Labour and antisemitism: once again, it's all about Jeremy Corbyn | Jonathan Freedland"
220,UK nightclub owner Deltic Group up for sale as bankruptcy looms
221,Lewis Hamilton moved to be racing at circuit where Ayrton Senna lost his life
222,Sky's The Chop axed over contestant's face tattoos linked to far right
223,From ice swims to knitting: Europeans seek ways to ride out Covid winter
224,Pheasant and partridge classified as species that imperil UK wildlife
225,CPS will not prosecute UAE minister accused of sexually assaulting Briton
226,Suspect in Nice terror attack phoned his family hours before rampage
227,In praise of Masters Football: a forgotten phenomenon | Simon Burnton
228,Virtue signalling: the culture war phrase now in BBC guidelines
229,Wayne Pivac's struggling Wales are caught between two stools | Paul Rees
230,The response to the EHRC report shows Labour's infighting never stopped | Sienna Rodgers
231,Labour to investigate complaints of antisemitic messages after EHRC report
232,Japan's 'love hotels' accused of anti-gay discrimination
233,The Fiver | One relentless grind of vacuous and self-inflicted tedium
234,"Nobby Stiles, 1966 World Cup winner with England, dies aged 78"
235,'It was part of what we did': Hill and Herbert on life and death in Formula One | Giles Richards
236,Children in poorer areas of England missing more schooling – study
237,Classical highlights for the week ahead: 1-7 November
238,Corbyn's constituents air frustration and anger over suspension
239,Seth Meyers on the Republican party: 'Basically a collection of gigantic weirdos'
240,Ireland the familiar final foes in France's quest for Six Nations glory | Michael Aylwin
241,Ariana Grande: Positions review – all-night romps but no climax
242,Refugee agencies call for action on people smuggling after 140 die in shipwreck
243,Humans pushing North Atlantic right whale to extinction faster than believed
244,UK house price boom will collapse once buyers lose their jobs
245,"Tom Brady and the Bucs: a smashing success so far, but is it sustainable?"
246,'It feels good to bring the virus down a peg or two': should comedians joke about Covid?
247,Digested week: no sympathy for the second most awful man in America | Emma Brockes
248,The Mandalorian season two review – gun-slinging action with TV's coolest dad
249,Sheffield United v Manchester City: match preview
250,Wolfwalkers review – wolves take on Cromwell in bold Irish history tale
251,My soulmate married someone else. Am I wasting my life waiting for him?
252,Scenes of a Sexual Nature review – hit-and-miss Hampstead romcom
253,Jeremy Corbyn's suspension: what will Labour do next?
254,Six Nations is England's to lose but be prepared for late unforeseen twists | Robert Kitson
255,Liverpool v West Ham: match preview
256,"Behold Trump's pre-election secret weapon: Nigel Farage, 'king of Europe' | Marina Hyde"
257,"Donald Trump Jr and father play down Covid deaths as daily toll nears 1,000"
258,A tale of two Hughs: Laurie and Grant reap the rewards of wisdom
259,Irish surfer Conor Maguire catches 'Ireland's biggest wave'
260,Man arrested over deaths of Iranian Kurd family in Channel sinking
261,"South Africa's LGBTQ+ heroes, bull sacrifices and a fearless Roman feminist – the week in art"
262,'It's possible': the race to approve a Covid vaccine by Christmas
263,Forget trick or treat! 10 new ideas for Halloween family fun – from eerie origami to pumpkin spotting
264,"Kae Kurd: ‘The funniest word? Hubris, I can't take it seriously’"
265,Can I learn how not to be a pushover? My mum thinks so | Coco Khan
266,‘I spooked myself right before bedtime’: authors on their scariest creations
267,"The Mandalorian recap: season two, episode one – a dangerous quest to offload Baby Yoda"
268,New sensor offers a window into the secret lives of Britain's rarest bats
269,Facebook leak reveals policies on restricting New York Post's Biden story
270,Johnny Depp and Amber Heard: reputations at stake as judgment looms
271,Andy Burnham's impassioned style is a breath of fresh air. Labour should take note | Alex Niven
272,US election: woman in labour stops off to vote before going to hospital
273,Plant inspectors and rising prices: UK garden industry set for Brexit shock
274,'An operational tsunami': preparing for a winter surge of Covid-19
275,Writers protest after minister suggests anti-racism books support segregation
276,Slovakia to test all citizens over age of 10 for coronavirus
277,The return of McFly: will the cheeky pop-punkers finally get their due?
278,How to turn a coat into an outfit | Jess Cartner Morley
279,Secrets of the Saqqara Tomb review – hidden depths in ancient Egypt
280,Herb or vegetable? Flexible celery is both and more
281,Tom Baker: 'Being loved pleases me very much indeed'
282,Mourinho tells Spurs fans to expect a 'different' Bale from first spell
283,Why the US military would welcome a decisive 2020 election win
284,Share your best tips for exercising at home with us
285,Tell us: what are your experiences of racism in UK schools?
286,Birmingham Royal Ballet: Lazuli Sky review – bold opener from Carlos Acosta
287,Burnley v Chelsea: match preview
288,"Asylum-seekers' 3p-a-week increase is an insult, say campaigners"
289,'Here we reconnect with humanity': urban open spaces to lift the spirits
290,Payment holidays are ending in the UK – but there are options
291,Natasha Hunt out of England's Six Nations finale after positive Covid test
292,'There is power in them': mysterious stone figures to be moved in Gaelic winter ritual
293,"Covid restrictions push more under-25s than ever to sleep rough in London, charities say"
294,'It shouldn't be happening': the businesses providing free meals in England
295,Lessons from Estonia: why it excels at digital learning during Covid
296,'Being a mum doesn’t win matches': tennis stars turn focus back to sport | Tumaini Carayol
297,Qatar says those behind search of Australian women at Doha airport committed 'illegal actions'
298,Red wines for autumn nights | Fiona Beckett on wine
299,"Annotated solutions for Prize 28,273"
300,Thomasina Miers' Halloween recipe for miso roast pumpkin salad | The simple fix
301,This week's home entertainment: from US election night to Long Hot Summers
302,New Zealand wrap up netball Test series with second defeat of England
303,"In 1953, Britain openly removed an elected government, with tragic consequences | Gaiutra Bahadur"
304,Frank Horvat obituary
305,Educating Rita review – sharp-edged take on 1980s nostalgia piece
306,Hammer House of Horror: the twisted suburban tales that inspired Mark Gatiss and more
307,Health chief in England's worst-hit Covid area calls for immediate lockdown
308,"Sports quiz of the week: Six Nations, subs scoring hat-tricks and a sell-out"
309,'Dealt with internally': Solskjær praises response to hammering by Spurs
310,The Three Kings review – Scotland's managerial titans in the spotlight
311,The world is rocked by protest – but does taking to the streets ever work? | Simon Jenkins
312,Should Pinterest prohibit culturally inappropriate Halloween ideas? | Arwa Mahdawi
313,"Tracks of the week reviewed: Middle Kids, Maxïmo Park, Lana Del Rey"
314,Caleb Femi: 'Henceforth I’m solely preoccupied with being a merchant of joy'
315,Women Deliver racism investigation verdict  described as a 'slap in the face'
316,Manchester City's Chloe Kelly: 'We aim to win two FA Cups in one season'
317,Talking Horses: Cyrname returns for Charlie Hall with something to prove
318,How long does it take to receive coronavirus test results in England?
319,Philharmonia/Rouvali review – bold programme that sparkled
320,Starmer says Corbyn could have predicted suspension for EHRC response
321,"Noble Rot Soho, London W1: 'Heavenly' – restaurant review | Grace Dent on restaurants"
322,Mexicans for Trump? Amlo supporters have unlikely pick in US election
323,Experience: I found a cry for help hidden in my Halloween decorations
324,Tory chatter suggests the party's north-south divide extends far beyond Covid | Katy Balls
325,Tana French: 'I cannot see the point of DH Lawrence’s Women in Love'
326,What's the upside of winter? The bright side to all those dark months
327,"'When I travelled, I hid my passport': Fassbinder muse Barbara Sukowa on Hitler's legacy and hidden love"
328,‘This season is off the charts’: Colorado fights the worst wildfires in its recent history
329,Coronavirus Australia: the week at a glance
330,Electoral college explained: how the US election is an uphill battle for Biden
331,Covid: Dominic Raab refuses to deny possibility of tier 4 restrictions
332,"UK house prices jump but slowdown is likely, says Nationwide"
333,Klopp: My Liverpool Romance by Anthony Quinn review – a sporting love letter
334,M Huncho and Nafe Smallz: DNA review – dextrous chemistry deflated by familiar lyrical concerns
335,The Painter and the Thief review – astonishing portrait of two lost souls
336,Brazil's Trump takes to Amazon campaign trail but is backing Biden
337,Despair or denial – are these the only options in the run-up to election night? | Emma Brockes
338,Truth Seekers review – ghostbusting with Simon Pegg and Nick Frost
339,NatWest warns of challenging times ahead despite return to profit
340,Mitchell Miller: what the NHL bullying uproar shows us about hockey culture
341,Emeli Sandé’s teenage obsessions: ‘I spent hours in the Yahoo karaoke chatroom’
342,‘Profit over death’: millions of American diabetics struggle to afford insulin
343,Chess: Wesley So wins US title unbeaten as Hikaru Nakamura's run ends tamely
344,The fear within: 10 of the best scary films that aren’t horror movies
345,Western Australia will ease hard border – as it happened
346,The First Woman by Jennifer Nansubuga Makumbi review – coming of age in Uganda
347,‘Un-managing the land’: sheep make way for trees in Cumbria's uplands
348,‘I feel free here’: how a miracle girls' school was built in India's 'golden city'
349,Morrison government urged to cut emissions to tackle root cause of worsening bushfires
350,"People with disabilities suffer 'often shocking' violence, abuse and neglect – report"
351,Barbara Hepworth's time in London marked with blue plaque
352,African Apocalypse review – startling journey into Niger's heart of darkness
353,From cozy boys to brunch: this week's fashion trends
354,'He's a salesman': why rallies are Trump's last best hope of clinging to presidency
355,Unions discussing general strike if Trump refuses to accept Biden victory
356,"As a rent crisis looms, councils have a plan – the government should take note | Gaby Hinsliff"
357,The face mask test: which are the best at limiting the spread of Covid?
358,I have never met a pharmacist I didn't like. I don't know what I'd do without them | Hannah Jane Parkinson
359,Scooby shack: on an off-grid cabin retreat in west Cornwall
360,Friday briefing: Labour's day of shame and blame
361,"Trump's environment agency seems to be at war with the environment, say ex-officials"
362,'Voters are fed up': will Arizona's suburbs abandon the party of Trump?
363,Melbourne out of lockdown! What a time to literally still be alive. Well done everyone! | First Dog on the Moon
364,Hidden horrors: our writers on the scariest movies you (probably) haven't seen
365,UN urges UK to restart resettlement of refugees after family drowns in Channel
366,Calls to online child sexual abuse watchdog up 45% in September
367,'There's something to scream about': Bring Me the Horizon's pandemic political awakening
368,"No, Covid-19 isn't a 'plandemic'"
369,The human stories behind the fight for racial equality – podcasts of the week
370,‘Long johns with a bum hatch’: Guardian readers' secrets for staying warm outside this winter
371,"Americans have bought record 17m guns in year of unrest, analysis finds"
372,"Scrap gas pipeline in eastern Med due to climate cost, says report"
373,A post-Covid economy will need to offer tools to help enterprises flourish
374,Covid-19 second wave pushing UK to brink of double-dip recession
375,US election briefing for Australia: Donald Trump touts economic 'bounce' in final stretch
376,World leaders condemn Nice attack as France terror alert level raised to maximum
377,Country diary: rosebay willowherb – a pioneer plant | Country diary
378,Confusion after court rules to separate Minnesota ballots that arrive late – as it happened
379,Ratatouille the musical? Is that even possible?
380,Here are all the steps social media made to combat misinformation. Will it be enough?
381,Uber Eats drivers told to take photos of ID for alcohol orders raising privacy concerns
382,"Aunty Donna, SpongeBob Squarepants, Gattaca and more: what's streaming in Australia in November"
383,Paris region sees record traffic jams ahead of lockdown
384,"Australia must prepare for future shaped by extreme climate, bushfire royal commission warns"
385,Kim Kardashian's father resurrected as hologram in birthday present from Kanye West
386,'Battle for Labour's soul': what the papers say about Jeremy Corbyn's suspension
387,Human rights groups want report into 'bone-chilling' claims against SAS released in full
388,'Tell my children I love them': the victims of the Nice attack
389,‘We’re losing $6m a day’: Queensland's tourism industry pleads for more attention
390,7-Eleven repays $173m to workers after some franchisees falsified records in underpayments scandal
391,"Australians ask me what the mood is in the US. I say optimism, quickly smothered by dread | Chloe Angyal"
392,Dan Palmer praised after becoming first Wallabies player to come out as gay
393,Iran moves detained academic Kylie Moore-Gilbert back to Tehran prison
394,Kevin Rudd demands fair shake of the sauce bottle after Murdoch's 'huge whack' | The Weekly Beast
395,New Zealand votes to legalise euthanasia in referendum
396,Australian government knows 'very little' about whether money spent on Aboriginal programs works
397,"'Heartbreaking': 9,100 homeless suffer jobseeker payment suspensions amid recession"
398,NRL keeps eyes wide shut with U-turn over State of Origin anthem | Ben Abbatangelo
399,Ecotricity founder to grow diamonds 'made entirely from the sky'
400,One in six childcare providers in England may close by Christmas
401,Premier League: 10 things to look out for this weekend
402,"Cryptic crossword No 28,278"
403,"Quick crossword No 15,751"
404,West Yorkshire to move to toughest Covid restrictions – as it happened
405,West Ham's Michail Antonio out for a month with hamstring injury
406,"Robodebt scandal: more than 3,000 deceased estates owed refunds by Australian government"
407,"If we want scientific discoveries, we have to take a long-term punt on scientists"
408,"The truth is way, way out there: how Cold War radio signals inspired new series Truth Seekers"
409,Buying a first home during Covid-19: a guide for millennials
410,Amazon third-quarter earnings soar as pandemic sales triple profits
411,Big tech firms add $163bn to market values despite Covid and legal scrutiny
412,"Barbarians cancellation reduces rugby to 'laughing stock', says Eddie Jones"
413,"Europa League clockwatch: Arsenal 3-0 Dundalk, Rangers 1-0 Lech Poznan and more – as it happened"
414,Wales captain Alun Wyn Jones will set world Test caps record against Scotland
415,"Mo Farah's Olympic hopes could be hit by I'm a Celebrity, says UKA chief"
416,Jeremy Corbyn to fight suspension from Labour after EHRC antisemitism report comments – as it happened
417,Eddie Nketiah spearheads Arsenal's three-goal burst in victory over Dundalk
418,Faraimo and Naulago at the double to give Hull derby victory over Hull KR
419,Max by Alex Miller review – a compelling and tender story of one man’s hidden history
420,Scottish Album of the Year award: Nova becomes first grime winner
421,NorthStar satellite system to monitor threat of space debris
422,Has anyone seen Pauline? 10 things we learned from the Queensland election campaign
423,Corrections and clarifications
424,Labour's left calls for Jeremy Corbyn's suspension to be lifted
425,Europa League: Celtic blow two-goal lead while Morelos wins it for Rangers
426,Keir Starmer had his response ready. Then came Corbyn's post
427,'He couldn't move': New York City man falls into sinkhole full of rats
428,Antwerp tame Tottenham in Europa League thanks to Lior Refaelov's goal
429,Leicester make light of absentees and ease to clinical win over AEK Athens
430,Glenn Greenwald resigns from the Intercept over 'editorial freedom'
431,"Morning mail: Macron calls for unity, 'grave' coal warning, Trump and Biden in Florida"
432,Labour in turmoil as Corbyn suspended in wake of antisemitism report
433,Priti Patel refuses to rule out second Covid lockdown for England
434,The Guardian view on a second wave of Covid-19: getting freedom wrong | Editorial
435,The Guardian view on Labour and antisemitism: a question of leadership | Editorial
436,Calls to speed up airport Covid tests as Cyprus and Lithuania drop off UK's 'green list'
437,From MacDonald to Corbyn: a history of Labour leaders who ran afoul of the party
438,US election roundup: Biden and Trump descend on key battleground of Florida
439,BBC 'no bias' rules prevent staff joining LGBT pride marches
440,Walter Wallace Jr shooting: police to release 911 tapes and body cameras
441,France orders children aged six and over to wear masks in school
442,Trump administration ends gray wolf's endangered species protections
443,Investigation begins into Rhodes parasailing accident that left two British teens dead
444,Shell raises dividends as profits beat expectations
445,"Pay no mind: people admit to driving, texting, drinking during telehealth visits"
446,Antisemitism report opens up Labour's fault line all over again | John Crace
447,"In the year of the plague, the road back to recovery is looking bumpy"
448,The polls point to a Biden victory but can they be trusted this time?
449,"Five distinct types of dog existed by end of last ice age, study finds"
450,Croydon council on verge of bankruptcy after risky investments
451,"Witchcore: ‘If you want to wear a taxidermy owl on your shoulder, this is your moment’"
452,'Fan power': Newcastle finally start refunding supporters for missed games
453,"'Maybe we will reach the UK or maybe we will die in the sea,’ say asylum seekers"
454,"Ebony Rainford-Brent: 'The game’s been shaken up, there’s no going back'"
455,Nice church attacker identified as 21-year-old Tunisian man
456,"Pizza Express to axe 1,300 jobs in latest cuts"
457,The real Brexit battle was democracy v realpolitik | Letters
458,Fox News's Tucker Carlson mocked for 'lost in mail' Biden documents claim
459,Majority of Christians wouldn’t back Trump | Letters
460,Migrant tragedy and political hypocrisy | Letter
461,The fallacy of opting for private healthcare | Letter
462,Marcus Rashford powered by positive thinking | Brief letters
463,Meghan privacy trial granted postponement until autumn 2021
464,"Two British women subjected to Qatar strip-search ordeal, UK confirms"
465,England head for Rome and day of destiny with new gladiators
466,Izzat Ibrahim al-Douri obituary
467,Chelsea's Frank Lampard denies doubting Christian Pulisic's quality
468,The greatest tragedy of England's second wave is that it wasn't inevitable | Charlotte Summers
469,"Brexit talks making good progress, says Ursula Von der Leyen"
470,A Saturday night TV ratings weapon: Bobby Ball | Mark Lawson
471,Dead review – stoner serial-killer comedy runs out of puff
472,'Dear Boris': Delia Smith writes to prime minister urging him to let fans back
473,"Hysteria and rushed laws 'more harmful than Covid', say campaigners"
474,Attacks in France put Islamist extremism back in spotlight
475,Tracey Emin praised for frank disclosure of bladder cancer
