,0
29,Know What To Look For: 6 Signs Your Barber Is About To Cut Your Hair
30,9 Perverts Who Want To Meet You
31,"Customer Service Win: For An Extra $5 A Month, Spotify Will Stop Adding ‘Archie, Marry Me’ To All Of Your Playlists"
32,5 Adorable Baby Owl Photos That It’d Be Nice For You To Show Us For A Change
33,Don’t Pay A Dime: 6 Secrets To Getting A Free Glass Of Water At A Restaurant
34,Compassionate But Safe: Revlon Has Announced They’ve Stopped Testing On Animals But Are Including A Rat With Every Tube Of Lipstick In Case You Want To Test It Yourself
35,Powerful And Healing: This Artist Imagined What Hitler Would Look Like In A Dunce Cap
36,Dating Bad Boys Vs. Dating The One Bad Man
37,"Making His Case: Biden Just Launched A Series Of Wild, Unsubstantiated Attacks Against Himself In A Last-Minute Appeal To Republican Voters"
38,4 Times I Followed A Trail Of Reese’s Pieces On The Ground Thinking It Would Lead Me To A New Friend Only To Find It Led Me To An Arena Stage Where Neighborhood Teens Pulled My Pants Down In Front Of My Family
39,A Beautiful Friendship: 4 Times Koko The Gorilla Signed To Robin Williams That They Should Totally Do A Movie Together And He Kind Of Just Tried To Laugh It Off But She Would Not Let The Topic Go
40,Secrets Of The Master: Stephen King Just Revealed That He’s Able To Write So Much Because He Doesn’t Really Give A Shit If It’s Dumb As All Hell
41,"Doubling Down: After Accidentally Calling His Teacher Mom, This High School Student Got Emancipated And Had His Teacher Adopt Him"
42,"Sing, Calliope! O, Sing In Us Those 5 Perfect ‘Frasier’ GIFs, And With What Deft Hand They Nail What Having Social Anxiety Is Like"
43,"Honor Code: We Can’t Figure Out How To Set Up An Actual Paywall On This List Of What The ‘Gilmore Girls’ Cast Is Up To Now, So If You Read It Please Mail Us $3"
44,Here’s How This Is Gonna Work: You’re Going To Get Down On Your Hands And Knees And Beg Us Like A Dog For The Only Sheet Pan Recipe You’ll Need This Fall
45,Safety Fail: This ‘Deaf Child’ Sign Alerts Us To A Deaf Child’s Existence But Does Not Explain What Anyone Is Supposed To Do About It
46,"Oof, Probably Not The Best Idea In This Climate, Bud: This Man Tied His Mental Well-Being To His Financial Success, Physical Health, And Romantic Life"
47,5 Blenders We Tested For You While All Our Friends Were Out Having Fun Go-Karting
48,Powerful: These Photos Of Frowning Bald Men Are A Sobering Reminder That Sometimes Bald Men Are Sad
49,"Remember The Kid Who Played Beans On ‘Even Stevens’? Come On, Please Baby, Try To Remember"
50,5 Confusing Terms For Penis My Dad Used While Incorrectly Explaining How Sex Works To Me
51,5 Easy Ways To Turn A Regular Baby Into An Awesome Decorative Accent!
52,How Many Of These Classic Catchphrases Do You Know?
53,They Just Have ‘It’: 5 Camels With Star Potential
54,Pointless Drivel: This Book Seems To Imply That You Need To Say Goodnight To The Moon
55,A Return To Normalcy: This P.E. Teacher Has Emailed All Of His Students A Picture Of His Buttcrack Because If This Were A Normal School Year They Would’ve Seen It By Now
56,4 Ways To Gently Explain To Your Kids That Grandma Threw Herself Into The Lion Habitat At The Zoo And Moaned With Pleasure As They Tore At Her Flesh
57,Education FTW: 5 Creative Ways Teachers Can Still Punish Misbehaving Children During Remote Learning
58,Feeling Down? Use The Sliders To Receive A Compliment From Malala Yousafzai!
59,5 Times Queen Elizabeth Proved All The Haters Wrong By Doing A Tiny Bit Better Than People Thought She Would In A Boxing Match With A Kangaroo
60,"‘It Is Worth A Try’: Anthony Fauci Has Announced That If Everyone Mails Him A Bag Of Their Hair, It Might Help Him Develop A Coronavirus Cure Faster"
61,Preach! 5 Traffic Signs That Make A Great Point
62,4 Unpublished Dr. Seuss Books About The Grinch’s 10 Years As A Midwife
63,A Beautiful Remembrance: This Guy Emptying Out His Voicemails Has Opted To Keep One From His Grandma Who He Figures Will Probably Die Pretty Soon
64,Gloves: It’s Gloves
65,"6 Hagfish That Are Actually Pretty Cute Once You Stare At Them For Days On End Without Sleep, Food, Or Water"
66,7 Ways To Convince Your Neighbor That It’s Fine That Their Son Floated Away In The Blimp You Built For Him
67,"Ah, Yes: 7 Essential Quotes From The One And Only Sir Nondgren!"
68,A Forgotten Treasure: This Moving Photo Of A Discarded iTunes Gift Card With $0.30 Left On It Will Bring You To Tears
69,Best Savior Ever: 5 Times Jesus Came Down To Our Church And Performed An Original Song
70,Medical Disaster: This Baby Was Born With Gauges
71,A Small List Of Instructions For Taking Care Of All My Snakes While I’m Out Of The Country For 16 Years
72,Lame As Hell: The Secret Door Behind The Bookcase In This Manor Just Leads To A Redbox
73,"6 Myths About The Vagina That Lucas Has Already Debunked At 13 Years Old, Dude’s An Absolute Legend"
74,Goodbye Forever: 6 Armadillos We Have Severed Ties With Permanently
75,"Please, Whatever You Do, Do Not Use The Slider To Throw Mud And Scorpions All Over These Nice Grandmas"
76,"Fuck You: We’re Putting ‘Family Guy’ At Number 1 On This List Of ‘Best TV Shows Ever’ And ‘The Sopranos’ Isn’t Even On It. What’re You Gonna Do? Blow Up Our Office? We’re All Working From Home, Motherfuckers!"
77,"Aw, So Sweet! This 32-Year-Old Thought Of The Cleverest Little Joke To Post On Social Media!"
78,Doesn’t Bode Well: The Only Thing This Woman Is Excited To Wake Up For In The Morning Is The Coffee She Drinks Approximately Three Minutes Into Her Day
79,A Good Run: Rupert Grint Just Announced That He Has Eaten Pussy Twice And Is Ready To Receive Lethal Injection
80,Pretty Disappointing: Only 3 Of The 178 Sexual Positions In This Sex Guide Under Your Parents’ Bed Have A Little Checkmark In Pencil Next To Them
81,5 Tom Hanks Movies That Taught Me Life Is Probably Not Worth It
82,5 Shiny Objects Mommy Will Now Make Dance In Front Of Our Faces
83,6 Clams Who Still Need Dates To Clam Prom
84,Dude Calm Down. This Guy Is Screaming While Getting Attacked By A Bear Even Though He’s Seen Like A Million Bears On TV And In Magazines And Stuff
85,23 Amazing Facts About Sharks That Will Blow Your Mind
86,Science FTW! Researchers Who Probably Should Have Been Working On A Coronavirus Vaccine Just Discovered A New Species Of Tree Frog!
87,Career Crisis: Nick Jonas Is Tweeting About Whether Or Not It’s Weird That His Job Is Singing About Sexy Ladies With His Brothers
88,Kill Some Time: 5 Little Ducklings You Could Maybe Pray For If You’re Bored
89,Incest Alert: This Man Just Admitted To Having Sex With His Own Wife
90,Going Plastic-Free: Coors Has Announced Their Six-Packs Will Be Held Together By A Guy
91,Farewell To An Icon: The State Of California Has Paved Over Meryl Streep In Order To Construct A New Freeway
92,5 Fire Safety Tips You Need To Ignore If You Want To Impress Your Stepsons
93,"Look, We’re A Little Hungover This Morning, So Could You Guys Just Read This Article We Copy-And-Pasted From The ‘New Yorker’ While We Lie Down And Rest Our Eyes?"
94,Jesus: This Dog Is Getting Scratched Super Close To Its Dick
95,5 Donkeys That Are Going To Have Get A Lot Fatter If They Want Us To Eat Them
96,10 Pictures Of That Donald Trump Guy You All Seem To Love So Much
97,Not Their Best: 5 Episodes Of ‘House’ Where House Diagnosed Someone With ‘Ugly Face Disease’ And Spent The Rest Of The Episode Drinking Soda
98,Calvin And Hobbes Fans Rejoice! Bill Watterson Has Revealed That Calvin Throws Hobbes In The Garbage When He Turns 12 And Grows Up To Be An Accountant For Boeing
99,Heartbreaking: This Woman Is Absolutely Squandering Her Final Period Before Menopause
100,Nothing Too Crazy: 5 Times Owen Wilson Was Just Sexy Enough That It Made Us Sort Of Nod And Smile
101,Inclusivity FTW! Scientists Have Developed A Wheelchair That Finally Allows Users To Slap The Top Of A Door Frame When They Enter A Room
102,Breaking Down Barriers: Vogue Just Published Its First-Ever Cover Shoot Featuring Percy!
103,"Time To Pay, Fuckers: We’re Gonna Find Out Which One Of You Little Shits Defaced Our List Of Adorable Eddie Redmayne Pics"
104,5 Fish That Know All About You
105,A Ridiculous Man: This Man Has A Mustache
106,You’ll Get ‘Em Next Time: This Woman Who’s Accomplished Nothing All Quarantine Figures She’ll Knock The Next Global Pandemic Out Of The Park
107,Neat! 6 Babies That We Just Found Crawling Around In A Corn Field
108,Nature Is Incredible: Scientists Have Discovered That Elephants’ Tusks Can Be Sold For Profit
109,"Fascinating: 5 Common English Phrases That Were Actually Invented By Me, Susan"
110,Tremendous! The Baby With A Sword Has Now Acquired A Bible
111,Heartbreaking: This Guy Talking About How He’s Less Comfortable In Big Group Settings Doesn’t Realize He’s Even More Off-Putting And Strange One-On-One
112,No News Is Good News: It’s Been A While Since We’ve Heard Anything About Net Neutrality So You’ve Got To Think It’s All Been Worked Out By Now
113,How Well Do You Know The Words To Robert Frost’s ‘My Horse Is Stuck In A Tree (Once Again)?’
114,How The Hell Did This Happen Again?!?: It’s Time To Feed Yourself For The Third Fucking Time Today
115,Public Health Win: Arby’s Has Announced That You Are No More Likely To Contract COVID-19 From Eating At Arby’s Than Any Other Infectious Disease
116,"Sorry In Advance, But The Only Two Results On This ‘Which Harry Potter Character Are You?’ Quiz Are Dobby And Frank Sinatra"
117,A Change Of Heart: 6 Celebs Grandma Has Moved From Her Hit List To Her Beefcake List
118,7 Straight-Up Wacky State Laws That You Should Still Be Pretty Aware Of If You’re Black
119,6 Household Items Dad Is Currently Feuding With
120,5 Times My Grandma Possessed Someone To Brag To Me About How She Was Getting Railed By Babe Ruth In Hell
121,5 Times Presidents Interrupted TV Broadcasts Just To Talk About A Cool Idea They Had For A Movie
122,We Asked 6 Porn Stars About Their Most Memorable Experience Filming A Sex Scene
123,Modern-Day Sophie’s Choice: This Woman Can’t Seem To Decide If She Wants Her Profile Picture To Be A Blurry Picture Of Her Son Or A Blurry Picture Of Her Daughter And Keeps Switching Back And Forth Between The Two
124,60 Things Dad Looks For In A New Pair Of Shorts
125,Heartbreaking: This Birdwatcher Keeps Finding His Parents Having Sex In Trees While He’s Looking For Exotic Birds
126,"Not Really A Tragedy, Honestly: The Exotic Pet Supply Store Down The Street That No One Ever Went Into Has Gone Out Of Business Due To Coronavirus"
127,Truly Depressing: This Elderly 36-Year-Old Man Is Babbling Incoherently About Something Called ‘My Bloody Valentine’
128,Look Who Came Crawling Back: This Guy Just Set His Shower Head Back To The Normal Setting After Trying Out The 5 Other Way Shittier Settings Real Quick
129,Inspiring: 4 Sex-Positive Drawings Of Big Bird Sprinting Through The Wilderness On His Way To Make Love To A Married Woman
130,6 Ways To Make Your Neighbor Move Away Using Nothing But A Common Crow
131,"7 Incredibly Majestic Animals Who, Keep In Mind, Have Never Accomplished A Single Thing In Their Lives"
132,4 Times On ‘Sesame Street’ Where Elmo Eagerly Sliced His Own Belly Open To Show Everyone He Was Full Of Batteries
133,“Barefoot Contessa’ Is Italian For ‘Mrs. Foot”: A Day In The Life Of Ina Garten
134,5 Times Cobweb Lady Was Looking At You
135,Ladies And Gentlemen…Let Us Introduce To The Stage…Basketball Legend…Michaaaeel…Jooooord….Burrrrg…Cannnnn….Dorrrrrb…Looorb….Clllonnnn!
136,Not Fucking Worth It: The Insane Schedule And Diet This Blogger Says She Follows To Keep Her Mental Health In Check Sounds Way Worse Than Just Being Depressed
137,6 Times I’ve Been Sued Into Oblivion By Disney For Refusing To Shut Down My Business Where I Dress As Mickey Mouse And Eat Locusts In Front Of Children At Birthday Parties
138,Life In Danger? Use ClickHole’s Emergency Exit To Get To Safety!
139,Quench Your Thirst At ClickHole’s Water Fountain!
140,Kinda Taking A While: This Woman Is Clearly Still Scrolling To Find An Acceptable Picture Of The New Guy She’s Dating To Show Her Friends
141,Heartbreaking: The Jim Henson Company Has Revealed That Jim Henson Was Only Dead For 10 Minutes Before Kermit The Frog Started Eating Him
142,"Heartwarming: When This Boy Came Out To His Parents, They Told Him They Couldn’t Care Less Who He Loves As Long As He Helps Them Clean Out The Fucking Garage"
143,6 Creatures Of Myth And Folklore That Are Squatting In My Garage Ranked By How Much Of Hassle They’re Being
144,Hot Hot Hollywood: Glenn Close Is Exiting The Chateau Marmont With Richard Linklater And The Crypt Keeper On Each Arm And They Are Smugly Walking Into The Traffic Of Sunset Boulevard To Kill Themselves
145,Trapping Small Game And More: 11 New Uses I Discovered For My Ass While Living As A Hermit In The Woods The Past 20 Years
146,Balls To The Wall: This Incredibly Graphic Bus Stop PSA Isn’t Even Trying To Use A Euphemism To Describe Breast Self-Exams
147,"7 Off-The-Dome, Probably Unhelpful Ideas To Reform The Prison System Just To Get The Ball Rolling"
148,5 Times He Come In Looking All Huge With His Jiggling Face And Spraying His STINK And Mess Around With Our Jewels And Our Snacks 5 TIMES HE DID THIS TO US With His Stink And Spraying His Fluids Onto The TV When We're Trying To Watch Commercials 5 Times
149,Body Positivity Win: This Thing Seems Overweight For Whatever The Hell It Is But It’s Still Beautiful
150,What Was He Going For? Dr. Phil Wore A Fat Suit On Yesterday’s Episode Of His Show But Just Sat There Without Addressing Any Body Positivity Stuff
151,Royal Thieves: Queen Elizabeth Says That Harry And Meghan Took All 50 Sets Of Her Dentures With Them When They Left Buckingham Palace
152,"Major Disappointment: J.J. Abrams Has Revealed That Finn And Poe Are Both Gay, But Don’t Really Vibe With Each Other Romantically"
153,"God, We’re So Lonely: 5 Angela And Andy Moments That We’d Take As Couple Goals At This Point"
154,"'I Can’t Believe I’m Inside His Asshole’: This Doctor Is Giving Bruce Springsteen His Annual Prostate Exam Right Now And Trying To Play It Cool, But, C’mon, It’s The Boss!"
155,Absolutely Heartwarming: This Stray Dog Was Living Sick And Abandoned Until This Incredible Family Took Her In And Regularly Put Rectal Suppositories Into Her Asshole To Relieve Her Chronic Constipation And Had Her Foul Anal Glands Expressed On A Weekly Basis Until She Was Healthy Again!
156,So Sexy! These 6 Frogs Don’t Even Have To Be Princes In Disguise To Get A Little Tongue Action From Us
157,"Fascinating: Historians Have Determined That If Mozart Had Lived 15 Seconds Longer, He Might Have Produced Up To Two More Nice Loud Piano Sounds"
158,Fair And Balanced: 4 Ways In Which SpongeBob Is Sponge Goals And 4 Ways In Which He Is Not
159,Grow Up Guys: These Immature 6th-Grade Boys Start Laughing Every Time Their Sex Ed Teacher Talks About A Man’s Pempler Going In A Woman’s Vooguss
160,New Artist Spotlight: ClickHole Invites You To Check Out The Funky Summer Tunes Of Boston Indie Rockers Guster!
161,Beyond The Obvious: 6 Other Social Networks Besides Trainfuckers You’ve Gotta Join If You’re Sexually Attracted To Trains
162,"Heartwarming: This Boy’s Dying Wish Was For Mattress Firm Stores To Move Into 8 Vacant Retail Locations In His Town, And Mattress Firm Made It Happen"
163,Major Miscalculation: This Couple Is Trying To Go Viral With A Video Of A Wedding Ceremony Between Their Baby And Their Puppy But It’s Too Realistic And Everyone Hates It
164,Stolen Valor: This Man On Tinder Looking For A Pam To His Jim Has Never Sold A Ream Of Paper In His Life
165,Mad With Power: This Woman Just Commanded All Of Her Friends On Facebook To Recommend The Best Lunch Spot In Tampa Bay ASAP Like She’s The Fucking Queen Of England
166,Who’s Disgusting Now? This Hoarder Who Saved All Of His Fingernail Clippings And Urine For The Past 12 Years Just Won Kohl’s ‘Most Piss And Fingernails’ Contest
167,"The Innocence…It Has Died: Miley Cyrus, The Child From Television, Has Revealed Her Nakedness…And It Is Womanly"
168,"Beautiful: When This Man Tweeted That He Was Thinking Of Committing Suicide, Thousands Of Strangers Replied To Tell Him The Preferred Term Is Now ‘Dying By Suicide’"
169,"So Embarrassing: This Man’s Grandma Called Him Right In The Middle Of A Date To Tell Him That Her Book, ‘The Love Of A Good Woman,’ Won The National Book Critics Circle Award In 1998"
170,We Got A Real Oddball On Our Hands Here: This 4-Year-Old Is Obsessed With ‘The Borowitz Report’ And Is Constantly Printing Out Articles To Hang Up On His Wall
171,6 Cartoon Characters That Are So Hot That I Have Lain With Them
172,"Relax, People: Yes, The Weird Kid Got Hot, But He’s Still Weird"
173,Unlikely Animal Friendship: This Badger And Owl Are Still Friends Even Though The Badger Had Sex With The Owl’s Mate
174,5 People Who Didn’t Become Famous Until After They Died And Their Corpse Was Used In A Dentyne Ice Commercial
175,Animal Rights Win: KFC Has Announced That They Will Now Serve Their Chickens Alive
176,Beautiful: This Incredible Artist Imagined What Gandhi Would Say If He Had Lived Long Enough To Own A Computer
177,So Insensitive: This Woman’s Boyfriend Didn’t Even Notice She Got A Brand New Mule
178,"Ooh La La, And Va-Va-Voom! This Sexy Lady Lights Up The Room!"
179,Not Quite How It Works: This Funeral Home Has A Little Italian Chef Statue Out Front
180,Their Dorkiest Actor Friend’s Time To Shine: This Couple Needs Someone to Officiate Their Secular Wedding
181,5 Times On ‘Sesame Street’ Where Big Bird Incorrectly Explained To A Kid That Each Of The Pink Rings Around His Legs Represents 100 Years That He’s Been Alive
182,Devastating: A New Study Shows That 60% Of Americans Don’t Have Enough Savings To Cover An Unexpected Bridge Troll’s Gold Coin Fee
183,Major Disappointment: Last Night’s Memorial Concert For Tom Petty Only Had Enough Money For A Hologram Of His Foot
184,Alarming: 9 Out Of 10 Americans Have No Plan In Place Should Someone On Their Basketball Team Ever Pass Them The Ball
185,4 Times Mark Cuban Begrudgingly Offered A Contestant A Deal On ‘Shark Tank’ Because The Contestant’s Sob Story Was About The Time He Hit Them With His Car
186,Body Positivity Win! Dove Just Released A Powerful New Ad Campaign Announcing That In Their Eyes Everyone Is Fat
187,Poor Guy: Dad Hasn’t Stopped Crying Since He Found Out The Mother’s Day Song He Wrote For Grandma In 2012 Wasn’t One Of Pitchfork’s Top 200 Songs Of The Decade
188,So Awesome: This Couple Cut Into Their Gender Reveal Cake And A Swarm Of Locusts Flew Out To Indicate Their Baby Will Be An Old Man Who Eats Them Immediately After Being Born
189,Ultimate Endurance Challenge: We’re Doing 5 Laps Around This List Of Harry Styles Photos
190,Absolutely Adorable: This 4-Year-Old’s Hero Is The Centaur That Comes Out Of The Woods To Eat His Family’s Garbage
191,4 Times Oprah Winfrey Forgot To Arrange Prizes For Her Audience So She Just Gave Away Some Of Her Hair
192,‘Etienne Is NO MAN’S Fool’: Etienne Is Going Completely Apeshit On This Bakery’s Cashier For Trying To Charge Him $4.50 For A Bear Claw
193,Whose Mouth Is This?
194,Unfair Advantage: Wealthy Families Are Paying Thousands Of Dollars To Have Men Chuck Apples At Their Kids’ Heads If They Aren’t Studying
195,Remember Partygoer #4 From ‘Dawson’s Creek’?: 5 Bit Roles Osama Bin Laden Played Before 9/11 Made Him A Star
196,Go Easy On Him: Your Son Is Embarrassed Enough As It Is After Getting Caught Practicing Kissing With The Dog
197,Aww: Animal Experts Are Saying Cats Really Do Miss Their Owners If That’s What You Need To Hear
198,Lucky Break For Wendy’s: A Woman Found A Dead Rat In Her Wendy’s Fries And She’s Absolutely Ecstatic About It
199,Legal Quandary: These Two Brothers Have Been Looking At Each Other’s Penises Through Telescopes For 72 Straight Hours And The Police Can’t Tell If It’s Incest Or Not
200,"Oh, Jesus: It Smells Like Something Got Into This List Of Harry Styles Pics And Died"
201,Did ‘Sesame Street’ Go Too Far When Mr. Snuffleupagus Got Killed By Poachers And Had His Tongue Ground Up And Made Into A Tea Which Successfully Treated Cookie Monster’s Erectile Dysfunction?
202,4 Episodes Of ‘The Office’ Where Michael Comes To The Office At 3 A.M. And Finds Phyllis And Stanley Filming An Al-Qaeda Training Video
203,Animal Rights Win! Someone Gave This Horse A Computer
204,5 Professional Yet Polite Ways To Respond When Your Child Says They Love You
205,Might As Well Forfeit: The Girls On The Other Volleyball Team All Have Matching French Braids
206,"Heartbreaking: When This Man’s Wife Gave Birth To A Baby That Looked Exactly Like Him, He Realized That She Had Been Having An Affair With His Twin Brother"
207,Don’t Click! Snakes!
208,Jeopardizing The Deal: This Man Keeps Excusing Himself From An Important Business Dinner So He Can Go To The Bathroom And Look At His ‘Avengers’ Underwear
209,Ditch The Personal Trainer: 5 Pretty Bad Stretches You Can Do At Home
210,Heartwarming: Lionel Richie And Chewbacca Mom Have Buried The Hatchet After Realizing Life Is Short And They Don’t Even Know Each Other
211,Incredible Devotion: This Tibetan Monk Remembers To Do His Meditation App Almost 5 Days A Week
212,So Annoying: Every Time This Man Visits Home His Family Hounds Him About When He’s Going To Get Into An Ethically Non-Monogamous Relationship
213,Way Too Fucking Soon: The Cast Of ‘Angie Tribeca’ Just Came Together For An Incredibly Emotional Reunion
214,15 Episodes Of ‘Seinfeld’ When Jerry Dated A Woman With Man Hands
215,Piling On: Lysol Is Following Microsoft’s Lead With A Series Of Ads Absolutely Dunking On MacBooks
216,Absolutely Heartbreaking: This Guy Who Just Got Laid Off Believes It’s The Universe’s Way Of Telling Him To Pursue His Dream
217,"Woof, Just Brutal: The 10 Shittiest Shows On PBS"
218,Dating Win! Netflix Has Added A New Date Night Feature That Puts Several Half-Watched Ken Burns Documentaries In Your ‘Continue Watching’ Section To Make You Seem Smart
219,Unlucky In Love: 4 Times Regis Philbin Got Voted Off ‘The Bachelorette’ In The First Episode Of The Season
220,Something For The Foot Fetish Crowd: This Foot Wants To Have Sex With You!
221,Dodged A Bullet: Grandma Is Going In For A Surgery This Week But It’s Not A Serious One So You Don’t Have To Call Her Or Visit Her Or Anything Like That
222,No Other Options: The Writers Of ‘The Simpsons’ Have Announced That They Have Exhausted All Other Character Story Combinations And Must Resort To A Romantic Relationship Between Homer And Bart
223,Extremely Embarrassing: This Woman’s ‘Crazy Frog’ Ringtone Keeps Going Off In The Middle Of Her Own Funeral
224,"Stunning Intelligence: For The First Time Ever, Scientists Have Observed A Chimpanzee Blow Up A Human Child With Its Mind"
225,Not As Heartwarming As It Could Have Been: Anthony Hopkins Just Showed Up At This High School 8 Months Early To Ask A Girl With A Temporary Neck Brace To Prom
226,"Okay, Ladies, Now Let’s Get In Formation: 5 Ridiculously Fun Bachelorette Party Destinations Where You Can Lap Up Gallons Of Cola And Rip Ass With Your Best Gals"
227,Disgusting Freak: This Man Has An Entire Room In His House Dedicated To Urinating And Defecating
228,4 Times On ‘Friends’ When They Really Made The Laughing Launch Out Of Our Mouths
229,Obvious Nepotism: This 5-Year-Old Boy Was Just Appointed Grocery Shopping Helper By His Own Parents
230,"Bold Strategy: Gatorade’s New Ad Campaign Pushes The Notion That Dumping Gatorade On People Is Something You Should Do When You’re Sad, Too"
231,A Beautiful Tribute: This Woman Is Using An American Flag-Themed Disposable Napkin In Honor Of Her Country
232,We Did Not Have The Time To Reimagine Kermit The Frog. Here He Is Normal.
233,4 Icy Hot Commercials Where It Was Extremely Clear Shaq Thought Icy Hot Was Dog Repellent
234,Hopefully This Article Where We Call Desmond Tutu ‘The Ultimate Bimbo’ Offends Enough People To Get Us Some Valuable Hate Clicks
235,"Mad With Power: The Drama Teacher Is Making Everybody Come In On A Saturday To Paint A Shitty Looking Wall That Says ‘STORE’ For The ‘Hello, Dolly!’ Backdrop"
236,"Not Very Scary, Honestly: This Little Girl Is Possessed By The Spirit Of A Normal Guy"
237,5 Risky Teenage Behaviors That Would Honestly Be A Way Better Use Of Your Kid’s Time Than Joining Color Guard
238,Behold: The Children Of Others
239,Following His Heart: Nick Jonas Fell In Love With The Horny Old Lady Who Bid On A Date With Him At A Charity Auction And Now He Is Leaving His Wife
240,So Annoying: This Woman Who’s Doing All The Steps Wrong In A Zumba Class Is Really Getting In The Way But She’s Too Elderly For The Teacher To Do Anything About It
241,Fascinating: The CEO Of McDonald’s Has Revealed That Grimace Is The Larval Stage Of Ronald McDonald
242,Baffling: This Woman’s 6-Paragraph Facebook Post About Gratitude Accompanying A Professional Headshot Of Her In A Cornfield Doesn’t Seem To Have Any Kind Of Big Announcement In It
243,"Lean In, Queen! Her Husband Told Her The Only Room Off Limits In His Accursed Estate Was His Private Study, But She Went In Anyway And Totally Owned Her Horrible Fate"
244,Incredible Discovery: Oxford Researchers Have Determined That King Tut Would Have Been Their Best Friend
245,The 6 Best Things About Being In Hell Forever
246,Torn Apart By Grief: This Couple Was Unable To Save Their Marriage After The Death Of Verne Troyer
247,"Solace In Grief: When This Man Died, His Family Took Comfort In The Fact That His Rib Cage Would Be Donated To A Donkey To Wear As A Hat"
248,Disturbing Teen Trend: Adolescents Across The Country Are Getting Together WEEKLY to Worship A Dead Man Named Jesus Christ
249,Passing The Torch: The Jim Henson Company Has Announced That Steph Curry Will Replace The Late George H.W. Bush As The Voice Of The Swedish Chef
250,Bold Strategy: PAM Is Now Marketing Its Cooking Spray As Bug Spray Too Since You Gotta Figure That Anything You Spray At A Bug For A Few Seconds Should Kill It
251,Celebrating An Icon: President Trump Has Invited Joe Camel To The White House In Honor Of Being The Coolest Camel He Has Ever Heard Of
252,Inspiring: This Man Just Became The Oldest Person Ever To Date Melissa
253,Best Dad Ever: This Dad Is Judd Apatow!
254,Dangers Of Dieting Culture: This Man Looked Better Fat
255,Devastating: Connor Called His Father ‘Obtuse’ A Week Ago And His Old Man Appears To Be Completely Unmade
256,"Not Sure What’s Going On Here, But Okay: Here’s Some Germans Being Weird In Those Little Outfits"
257,What The Fuck? It’s 2 p.m. Already
258,Body Positivity Win: Dad Is Changing Out Of His Swimsuit In The Beach Parking Lot With His Bare Ass In Plain View Of Everyone
259,Chilling: This New Anti-Smoking Campaign Demonstrates The Horrific Effects Of Having To Make Small Talk With A Coworker By The Dumpster
260,Coming Clean: The French Government Has Admitted That The Eiffel Tower Is Meant To Be A Statue Of An Elephant But It Sucks
